Date(dd-mm-yy),Category,Amount,Name
01-11-10,aat,101,Graace
01-11-10,aat,101,Graace
01-11-10,aat,101,Graace
01-11-10,aat,101,Graace
01-11-10,aat,101,Graace
01-11-10,aat,101,Graace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,aat,101,Grace
01-11-10,taat,101,Graace
01-11-10,taat,101,Graace
01-11-10,taat,101,Graace
01-11-10,taat,101,Graace
01-11-10,taat,101,Graace
01-11-10,taat,101,Graace
01-11-10,taat,101,Graace
01-11-10,taat,101,Graace
01-11-10,taat,101,Graace
01-11-10,taat,101,Graace
01-11-10,taat,101,Graace
01-11-10,taat,101,Grace
